OBJECTID_1,KOD_OBEC,NAZ_OBEC,KOD_ORP,NAZ_ORP,NAZ_LAU1,Kód_obce,Obec,Kód_SO_ORP,SO_ORP,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022,F2023,ObjectID,Shape__Area,Shape__Length
61,582883,Bratčice,6221,Židlochovice,Brno-venkov,582883,Bratčice,6221,Židlochovice,8,2,9,5,11,7,11,6,18,10,11,12,12,6,36,6161605.4362793,12752.8942795108
62,584126,Viničné Šumice,6216,Šlapanice,Brno-venkov,584126,Viničné Šumice,6216,Šlapanice,27,13,11,18,17,11,18,12,13,19,13,11,16,10,133,4747316.5177002,12953.9220885523
63,582808,Babice u Rosic,6214,Rosice,Brno-venkov,582808,Babice u Rosic,6214,Rosice,9,7,9,4,9,4,10,4,6,5,12,6,9,11,31,5686233.33154297,13108.7384180267
64,583553,Opatovice,6221,Židlochovice,Brno-venkov,583553,Opatovice,6221,Židlochovice,12,21,13,18,12,14,7,13,16,8,17,20,15,7,89,6151716.08416748,13263.0574129798
65,583332,Malešovice,6213,Pohořelice,Brno-venkov,583332,Malešovice,6213,Pohořelice,7,5,9,11,11,13,9,13,10,6,9,7,12,12,70,9204344.18786621,13305.3872276411
66,593168,Komořany,6219,Vyškov,Vyškov,593168,Komořany,6219,Vyškov,4,6,1,4,11,4,5,8,7,5,5,4,7,5,167,5853057.8916626,13311.2617765706
67,582964,Domašov,6214,Rosice,Brno-venkov,582964,Domašov,6214,Rosice,8,7,8,3,3,8,9,7,11,12,6,10,5,6,43,5940226.33081055,13331.3560306964
68,583359,Maršov,6217,Tišnov,Brno-venkov,583359,Maršov,6217,Tišnov,5,2,5,2,6,8,6,9,6,4,9,7,4,6,72,7500492.95941162,13393.0929396222
69,583286,Lelekovice,6209,Kuřim,Brno-venkov,583286,Lelekovice,6209,Kuřim,14,20,23,15,15,15,10,21,21,15,21,15,11,14,67,7287718.83721924,13410.4350579762
70,582913,Čebín,6209,Kuřim,Brno-venkov,582913,Čebín,6209,Kuřim,19,16,18,25,18,18,29,24,18,22,19,17,28,13,38,7232750.74121094,13474.5848630564
71,550825,Holubice,6215,Slavkov u Brna,Vyškov,550825,Holubice,6215,Slavkov u Brna,9,8,12,13,13,23,21,23,28,31,29,30,39,25,8,7386264.28479004,13523.1596931586
72,593435,Nížkovice,6215,Slavkov u Brna,Vyškov,593435,Nížkovice,6215,Slavkov u Brna,10,6,7,9,8,8,11,8,9,11,9,11,15,9,175,7027508.85205078,13543.0796535258
73,583880,Sobotovice,6221,Židlochovice,Brno-venkov,583880,Sobotovice,6221,Židlochovice,6,4,8,6,3,6,9,5,7,8,7,6,6,4,116,5329037.89068604,13574.2625397484
74,583979,Telnice,6216,Šlapanice,Brno-venkov,583979,Telnice,6216,Šlapanice,17,14,19,19,19,25,18,17,27,17,23,11,14,17,121,6102865.92858887,13579.7861202113
75,583189,Jiříkovice,6216,Šlapanice,Brno-venkov,583189,Jiříkovice,6216,Šlapanice,4,15,10,10,14,11,14,6,17,10,6,14,12,7,57,4529631.92352295,13776.8379994798
76,583855,Silůvky,6216,Šlapanice,Brno-venkov,583855,Silůvky,6216,Šlapanice,5,10,7,8,6,8,7,10,11,10,12,7,10,7,114,6000445.26824951,13837.1146253102
77,583481,Neslovice,6208,Ivančice,Brno-venkov,583481,Neslovice,6208,Ivančice,9,8,11,12,6,9,10,9,10,11,13,13,15,12,84,5827510.58343506,13975.6882267901
78,593214,Křenovice,6215,Slavkov u Brna,Vyškov,593214,Křenovice,6215,Slavkov u Brna,24,29,14,13,23,9,31,27,18,18,15,24,21,25,168,8845956.47644043,14143.3202493572
79,593664,Vážany nad Litavou,6215,Slavkov u Brna,Vyškov,593664,Vážany nad Litavou,6215,Slavkov u Brna,8,6,13,9,10,9,11,7,6,12,4,7,11,5,182,7021193.62481689,14257.549506822
80,593478,Otnice,6215,Slavkov u Brna,Vyškov,593478,Otnice,6215,Slavkov u Brna,17,23,15,12,14,12,13,18,14,22,21,12,14,17,176,8701657.11352539,14308.9069629887
81,581569,Habrůvka,6201,Blansko,Blansko,581569,Habrůvka,6201,Blansko,4,8,5,10,3,8,3,8,2,7,2,8,4,3,17,9951397.80352783,14456.4759110815
82,583367,Medlov,6221,Židlochovice,Brno-venkov,583367,Medlov,6221,Židlochovice,8,5,4,8,9,6,12,7,14,15,9,10,10,12,73,10194711.2090454,14581.1936795543
83,593613,Šaratice,6215,Slavkov u Brna,Vyškov,593613,Šaratice,6215,Slavkov u Brna,13,12,9,11,10,21,12,14,14,8,8,15,12,6,180,8249360.32104492,14629.8734367557
84,582930,Čučice,6208,Ivančice,Brno-venkov,582930,Čučice,6208,Ivančice,3,9,4,2,6,5,8,8,4,5,3,3,3,6,40,8191942.67071533,14648.6430252998
85,593044,Hodějice,6215,Slavkov u Brna,Vyškov,593044,Hodějice,6215,Slavkov u Brna,11,5,7,11,14,14,9,17,17,13,17,16,23,10,163,8575672.72607422,14695.9357049069
86,582433,Svinošice,6201,Blansko,Blansko,582433,Svinošice,6201,Blansko,4,3,2,6,3,6,2,1,4,2,5,4,2,4,27,7333326.06152344,14811.6393997021
87,584142,Vojkovice,6221,Židlochovice,Brno-venkov,584142,Vojkovice,6221,Židlochovice,16,13,8,12,17,12,10,8,9,12,14,14,10,10,135,6974994.55126953,14954.0973136431
88,583731,Přísnotice,6221,Židlochovice,Brno-venkov,583731,Přísnotice,6221,Židlochovice,6,5,13,8,6,7,12,11,9,9,10,6,7,2,103,7700822.69470215,14998.9812414012
89,593028,Habrovany,6219,Vyškov,Vyškov,593028,Habrovany,6219,Vyškov,8,10,7,6,12,11,9,15,9,13,5,12,6,8,162,5509490.29229736,15060.9780369002
90,584029,Troubsko,6216,Šlapanice,Brno-venkov,584029,Troubsko,6216,Šlapanice,15,17,21,27,19,30,28,28,24,32,20,26,27,23,126,6010914.76574707,15110.205147382
91,583634,Podolí,6216,Šlapanice,Brno-venkov,583634,Podolí,6216,Šlapanice,13,12,9,18,14,16,16,9,21,18,8,15,10,9,94,6256546.60302734,15206.9732034874
92,582476,Šebrov-Kateřina,6201,Blansko,Blansko,582476,Šebrov-Kateřina,6201,Blansko,10,9,2,10,8,5,6,5,7,14,7,6,1,5,28,10291228.1598511,15208.747153602
93,583863,Sivice,6216,Šlapanice,Brno-venkov,583863,Sivice,6216,Šlapanice,9,14,8,9,9,16,14,10,20,24,13,16,17,14,115,7262724.54162598,15238.8427154855
94,593320,Milešovice,6215,Slavkov u Brna,Vyškov,593320,Milešovice,6215,Slavkov u Brna,5,7,8,7,5,9,6,2,6,6,4,7,6,5,172,6711350.87207031,15245.6440611324
95,584843,Přibice,6213,Pohořelice,Brno-venkov,584843,Přibice,6213,Pohořelice,16,15,7,11,11,5,9,8,15,7,10,12,10,12,151,7453351.4017334,15321.7145591706
96,554898,Rostěnice-Zvonovice,6219,Vyškov,Vyškov,554898,Rostěnice-Zvonovice,6219,Vyškov,3,7,5,3,8,9,6,5,7,5,7,5,3,4,9,7523254.16552734,15369.6075906308
97,584266,Želešice,6216,Šlapanice,Brno-venkov,584266,Želešice,6216,Šlapanice,25,12,14,20,22,25,22,25,19,24,17,20,16,27,144,9972343.51849365,15556.0412568024
98,583600,Ostrovačice,6214,Rosice,Brno-venkov,583600,Ostrovačice,6214,Rosice,6,9,11,7,10,8,7,7,6,10,6,6,9,9,93,7818761.9151001,15672.1286133526
99,584118,Veverské Knínice,6214,Rosice,Brno-venkov,584118,Veverské Knínce,6214,Rosice,8,10,7,16,5,8,8,6,11,8,8,13,2,8,132,10166985.4911499,15725.3614744023
100,583308,Litostrov,6214,Rosice,Brno-venkov,583308,Litostrov,6214,Rosice,3,1,,1,,,1,2,3,1,4,,2,,69,7530534.52331543,15746.3360057131
101,581429,Březina (dříve okres Blansko),6216,Šlapanice,Brno-venkov,581429,Březina (dříve okres Blansko),6216,Šlapanice,85,49,67,65,75,65,59,69,70,93,69,81,75,7,13,6831944.69683838,15791.820159116
102,583413,Moravany,6216,Šlapanice,Brno-venkov,583413,Moravany,6216,Šlapanice,37,34,25,38,30,36,27,52,45,57,52,53,59,44,78,6635461.94049072,15819.7623646442
103,584231,Žabčice,6221,Židlochovice,Brno-venkov,584231,Žabčice,6221,Židlochovice,19,22,16,22,20,10,20,18,14,12,18,18,19,13,142,8179767.16149902,15937.6288131391
